Interval=	0.001 s
ExcelDateTime=	4.3789696833545400e+04	11/20/19 16:43:26.418323
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
1.203	0.015625
1.204	0.046875
1.205	0.0625
1.206	0.125
1.207	0.140625
1.208	0.171875
1.209	0.234375
1.21	0.296875
1.211	0.34375
1.212	0.375
1.213	0.421875
1.214	0.453125
1.215	0.453125
1.216	0.453125
1.217	0.46875
1.218	0.515625
1.219	0.5625
1.22	0.578125
1.221	0.625
1.222	0.640625
1.223	0.671875
1.224	0.703125
1.225	0.71875
1.226	0.78125
1.227	0.84375
1.228	0.890625
1.229	0.90625
1.23	0.96875
1.231	1.015625
1.232	1.046875
1.233	1.078125
1.234	1.09375
1.235	1.140625
1.236	1.1875
1.237	1.21875
1.238	1.265625
1.239	1.3125
1.24	1.34375
1.241	1.359375
1.242	1.375
1.243	1.40625
1.244	1.421875
1.245	1.421875
1.246	1.421875
1.247	1.421875
1.248	1.390625
1.249	1.359375
1.25	1.328125
1.251	1.3125
1.252	1.265625
1.253	1.25
1.254	1.234375
1.255	1.1875
1.256	1.171875
1.257	1.140625
1.258	1.09375
1.259	1.0625
1.26	1.0625
1.261	1.0625
1.262	1.0625
1.263	1.078125
1.264	1.078125
1.265	1.078125
1.266	1.078125
1.267	1.109375
1.268	1.15625
1.269	1.203125
1.27	1.25
1.271	1.3125
1.272	1.375
1.273	1.40625
1.274	1.421875
1.275	1.453125
1.276	1.5
1.277	1.515625
1.278	1.53125
1.279	1.5625
1.28	1.5625
1.281	1.578125
1.282	1.578125
1.283	1.59375
1.284	1.59375
1.285	1.59375
1.286	1.609375
1.287	1.609375
1.288	1.640625
1.289	1.6875
1.29	1.703125
1.291	1.703125
1.292	1.734375
1.293	1.765625
1.294	1.78125
1.295	1.796875
1.296	1.828125
1.297	1.84375
1.298	1.859375
1.299	1.84375
1.3	1.859375
1.301	1.875
1.302	1.90625
1.303	1.90625
1.304	1.90625
1.305	1.90625
1.306	1.875
1.307	1.859375
1.308	1.828125
1.309	1.796875
1.31	1.78125
1.311	1.78125
1.312	1.75
1.313	1.703125
1.314	1.671875
1.315	1.59375
1.316	1.53125
1.317	1.484375
1.318	1.421875
1.319	1.359375
1.32	1.296875
1.321	1.234375
1.322	1.171875
1.323	1.078125
1.324	0.984375
1.325	0.9375
1.326	0.875
1.327	0.84375
1.328	0.796875
1.329	0.75
1.33	0.671875
1.331	0.625
1.332	0.578125
1.333	0.53125
1.334	0.5
1.335	0.453125
1.336	0.421875
1.337	0.359375
1.338	0.3125
1.339	0.28125
1.34	0.265625
1.341	0.21875
1.342	0.203125
1.343	0.1875
1.344	0.203125
1.345	0.21875
1.346	0.203125
1.347	0.203125
1.348	0.171875
1.349	0.09375
1.35	0.078125
1.351	0.015625
1.352	-0.09375
1.353	-0.203125
1.354	-0.359375
1.355	-0.5625
1.356	-0.90625
1.357	-1.46875
1.358	-2.15625
1.359	-3.109375
1.36	-4.28125
1.361	-5.34375
1.362	-6.359375
1.363	-7.1875
1.364	-7.78125
1.365	-8.296875
1.366	-8.609375
1.367	-8.765625
1.368	-8.625
1.369	-8.21875
1.37	-7.734375
1.371	-6.90625
1.372	-5.71875
1.373	-4.5625
1.374	-3.609375
1.375	-2.6875
1.376	-1.640625
1.377	-0.59375
1.378	0.53125
1.379	1.65625
1.38	2.71875
1.381	3.859375
1.382	5.015625
1.383	6.0625
1.384	6.984375
1.385	7.8125
1.386	8.578125
1.387	9.25
1.388	9.859375
1.389	10.39062
1.39	10.82812
1.391	11.15625
1.392	11.45312
1.393	11.70312
1.394	11.89062
1.395	12.03125
1.396	12.14062
1.397	12.23438
1.398	12.3125
1.399	12.35938
1.4	12.35938
1.401	12.40625
1.402	12.4375
1.403	12.5
1.404	12.5625
1.405	12.625
1.406	12.70312
1.407	12.78125
1.408	12.875
1.409	12.98438
1.41	13.10938
1.411	13.23438
1.412	13.32812
1.413	13.45312
1.414	13.5625
1.415	13.67188
1.416	13.75
1.417	13.85938
1.418	13.98438
1.419	14.125
1.42	14.25
1.421	14.35938
1.422	14.46875
1.423	14.57812
1.424	14.67188
1.425	14.78125
1.426	14.875
1.427	14.95312
1.428	15.03125
1.429	15.07812
1.43	15.10938
1.431	15.14062
1.432	15.125
1.433	15.0625
1.434	15
1.435	14.92188
1.436	14.79688
1.437	14.67188
1.438	14.5
1.439	14.3125
1.44	14.07812
1.441	13.78125
1.442	13.48438
1.443	13.17188
1.444	12.82812
1.445	12.45312
1.446	12.0625
1.447	11.67188
1.448	11.25
1.449	10.8125
1.45	10.375
1.451	9.9375
1.452	9.5
1.453	9.078125
1.454	8.671875
1.455	8.265625
1.456	7.890625
1.457	7.515625
1.458	7.171875
1.459	6.828125
1.46	6.515625
1.461	6.234375
1.462	5.96875
1.463	5.703125
1.464	5.453125
1.465	5.1875
1.466	4.9375
1.467	4.734375
1.468	4.546875
1.469	4.359375
1.47	4.1875
1.471	4.03125
1.472	3.859375
1.473	3.703125
1.474	3.53125
1.475	3.40625
1.476	3.296875
1.477	3.1875
1.478	3.09375
1.479	3
1.48	2.890625
1.481	2.78125
1.482	2.671875
1.483	2.5625
1.484	2.5
1.485	2.40625
1.486	2.328125
1.487	2.265625
1.488	2.203125
1.489	2.1875
1.49	2.125
1.491	2.078125
1.492	2.046875
1.493	2.0625
